iter	Passed	Remaining
0	136	136350
1	139	69706
2	143	47562
3	146	36415
4	149	29787
5	152	25334
6	156	22196
7	159	19785
8	163	17957
9	166	16468
10	169	15267
11	173	14293
12	176	13419
13	180	12711
14	183	12059
15	187	11530
16	190	11015
17	194	10596
18	197	10205
19	201	9864
20	205	9572
21	208	9265
22	213	9057
23	217	8849
24	220	8614
25	225	8429
26	228	8219
27	231	8033
28	234	7854
29	238	7700
30	241	7539
31	244	7398
32	247	7253
33	250	7128
34	254	7004
35	257	6887
36	260	6784
37	264	6688
38	267	6597
39	270	6502
40	274	6414
41	277	6327
42	281	6255
43	284	6172
44	287	6102
45	290	6027
46	293	5959
47	296	5887
48	300	5825
49	303	5757
50	306	5705
51	309	5642
52	312	5592
53	316	5539
54	319	5492
55	322	5438
56	326	5398
57	329	5347
58	333	5315
59	336	5269
60	339	5229
61	342	5187
62	359	5343
63	362	5298
64	366	5265
65	368	5219
66	373	5198
67	376	5164
68	380	5130
69	383	5096
70	387	5067
71	391	5042
72	394	5013
73	398	4983
74	401	4948
75	404	4919
76	407	4884
77	411	4858
78	415	4839
79	418	4815
80	421	4787
81	425	4765
82	428	4735
83	432	4713
84	435	4689
85	438	4664
86	441	4638
87	445	4618
88	448	4594
89	452	4572
90	455	4546
91	458	4527
92	461	4504
93	465	4482
94	468	4462
95	471	4442
96	475	4423
97	479	4410
98	483	4396
99	487	4383
100	490	4366
101	493	4347
102	497	4333
103	501	4320
104	504	4304
105	509	4297
106	513	4282
107	516	4268
108	520	4251
109	524	4240
110	527	4222
111	530	4204
112	533	4186
113	536	4172
114	539	4154
115	543	4140
116	546	4125
117	549	4110
118	569	4217
119	572	4200
120	576	4187
121	579	4172
122	583	4157
123	586	4142
124	589	4129
125	593	4117
126	597	4104
127	600	4091
128	603	4075
129	606	4061
130	610	4049
131	614	4037
132	617	4022
133	620	4011
134	624	4003
135	627	3989
136	631	3975
137	634	3963
138	637	3949
139	641	3937
140	644	3924
141	647	3913
142	650	3899
143	654	3889
144	657	3875
145	660	3864
146	663	3851
147	667	3841
148	670	3828
149	673	3816
150	677	3807
151	680	3798
152	684	3788
153	687	3776
154	690	3766
155	694	3759
156	698	3751
157	702	3744
158	706	3735
159	722	3793
160	726	3783
161	728	3770
162	732	3759
163	735	3747
164	738	3738
165	741	3726
166	745	3716
167	748	3706
168	752	3698
169	754	3686
170	759	3680
171	762	3669
172	766	3665
173	770	3659
174	774	3650
175	779	3648
176	783	3643
177	788	3639
178	792	3637
179	797	3632
180	800	3623
181	805	3620
182	809	3616
183	813	3608
184	817	3602
185	821	3593
186	825	3587
187	829	3580
188	832	3572
189	835	3563
190	839	3555
191	843	3548
192	846	3539
193	850	3533
194	854	3527
195	859	3525
196	864	3523
197	867	3514
198	871	3509
199	875	3502
200	879	3497
201	884	3495
202	888	3488
203	892	3483
204	896	3475
205	900	3469
206	904	3464
207	907	3455
208	911	3447
209	914	3440
210	918	3434
211	921	3426
212	925	3419
